movie name,account name, followers count, tweets count
The Grinch,grinchmovie,17654,579
Bohemian Rhapsody,BoRhapMovie,63542,200
Overlord Movie,OverlordMovie,3606,3164
Disney's Nutcracker,thenutcracker,5549,184
A Star Is Born 2018,starisborn2018,282,26
The Girl with the Dragon Tattoo,DragonTattoo,16809,276
Nobody's Fool,nobodysfool,2233,89
Venom,VenomMovie,122551,183
#HalloweenMovie,halloweenmovie,63977,249
The Hate U Give,TheHateUGive,20589,490
SMALLFOOT Movie,SMALLFOOTMovie,10834,350
Beautiful Boy,beautifulboymov,13794,1492
Can You Ever Forgive Me?,cyefm,751,169
#ThugsOfHindostan,TOHTheFilm,15703,483
Night School,NightSchool,3548,143
First Man,FirstManMovie,8037,152
Goosebumps,GoosebumpsMovie,21744,7311
Boy Erased,BoyErased,6191,496
Hunter Killer Movie,HunterKiller,1259,202
The Old Man & the Gun,OldManAndTheGun,1051,167
Mid90s,mid90smovie,3162,423
Suspiria,suspiriamovie,19253,6226
Johnny English Strikes Again,johnnyenglish,4564,100
The House with a Clock in Its Walls,housewithaclock,5126,142
Crazy Rich Asians,CrazyRichMovie,28822,477
A Private War,aprivatewar,2450,822
Indivisible,indivisiblemov,1192,64
WILDLIFE,WildlifeTheFilm,1153,303
Disneyâ€¢Pixar's Incredibles 2,TheIncredibles,49086,9145
mariabycallas,mariabycallas,245,413
Bad Times at the El Royale,ElRoyaleMovie,5922,128
Colette,ColetteMovie,1168,122
A Simple Favor,ASimpleFavor,6389,805
Disney's Christopher Robin,DisneyCRobin,944,108
The Nun,thenunmovie,16518,298
The Front Runner,TheFrontRunner,1224,73
BORDER,BorderMovie,192,110
What They Had,whattheyhadmov,201,54
Hotel Transylvania,HotelT,40410,2377
Bodied,BodiedMovie,3676,626
The Sisters Brothers,SistersBrosFilm,1432,405
Alpha,AlphaTheMovie,2080,123
The Predator,predatormovie,9511,351
Searching,Searchingmovie,3603,11955
Gosnell Movie,GosnellMovie,9167,16609
